categorical_output_loss,categorical_output_precision,categorical_output_recall,continuous_output_loss,continuous_output_mae,loss,val_categorical_output_loss,val_categorical_output_precision,val_categorical_output_recall,val_continuous_output_loss,val_continuous_output_mae,val_loss
-230.76528930664062,1.0,1.0,19.803133010864258,3.3727259635925293,-210.9622039794922,-312.2003479003906,1.0,1.0,15.524792671203613,2.949434995651245,-296.8223876953125
-391.1194763183594,1.0,1.0,13.742696762084961,2.7335500717163086,-377.37677001953125,-469.13494873046875,1.0,1.0,12.905791282653809,2.655601978302002,-456.3935852050781
-546.6236572265625,1.0,1.0,11.732014656066895,2.505845546722412,-534.8917846679688,-623.21044921875,1.0,1.0,11.431236267089844,2.48761248588562,-611.9707641601562
-699.91943359375,1.0,1.0,10.41092586517334,2.35589599609375,-689.5083618164062,-775.8772583007812,1.0,1.0,10.292141914367676,2.3599019050598145,-765.8081665039062
