arousal_output_accuracy,arousal_output_loss,continuous_output_loss,dominance_output_accuracy,dominance_output_loss,loss,val_arousal_output_accuracy,val_arousal_output_loss,val_continuous_output_loss,val_dominance_output_accuracy,val_dominance_output_loss,val_loss
0.602222204208374,1.1102681159973145,25.05608367919922,0.6308333277702332,1.0130771398544312,27.21183204650879,0.6822222471237183,0.758858859539032,20.372722625732422,0.7372221946716309,0.6164286136627197,21.487733840942383
0.7434722185134888,0.6255335211753845,17.966405868530273,0.7873610854148865,0.504902184009552,19.10894012451172,0.7972221970558167,0.5129981637001038,16.582307815551758,0.8144444227218628,0.44156771898269653,17.298982620239258
0.8327777981758118,0.4533233642578125,15.06572151184082,0.8541666865348816,0.3672081530094147,15.893410682678223,0.8600000143051147,0.40303853154182434,14.519450187683105,0.875,0.33127477765083313,15.076188087463379
0.879027783870697,0.3589695990085602,13.28384017944336,0.8926388621330261,0.29037219285964966,13.939180374145508,0.9005555510520935,0.3209899961948395,13.078654289245605,0.8966666460037231,0.2780223488807678,13.50721549987793
0.9123610854148865,0.2916501462459564,11.990094184875488,0.9197221994400024,0.23870965838432312,12.521550178527832,0.9372222423553467,0.26851409673690796,11.928886413574219,0.9244444370269775,0.23218093812465668,12.291692733764648
0.933472216129303,0.24579322338104248,10.940263748168945,0.9363889098167419,0.2035265415906906,11.39956283569336,0.9449999928474426,0.23850001394748688,11.073907852172852,0.9411110877990723,0.20111152529716492,11.387153625488281
0.9483333230018616,0.21076443791389465,10.141226768493652,0.9513888955116272,0.1763431578874588,10.537921905517578,0.9549999833106995,0.20452256500720978,10.33055591583252,0.9505555629730225,0.17758165299892426,10.61417293548584
0.9590277671813965,0.1839573234319687,9.461228370666504,0.9594444632530212,0.1557082086801529,9.796417236328125,0.9627777934074402,0.182496577501297,9.69316577911377,0.9544444680213928,0.1595168560743332,9.963300704956055
0.9666666388511658,0.16429252922534943,8.885235786437988,0.9656944274902344,0.1393827348947525,9.175786018371582,0.9711111187934875,0.16322124004364014,9.165191650390625,0.9644444584846497,0.14394134283065796,9.41258716583252
0.9709722399711609,0.14675022661685944,8.368021011352539,0.9713888764381409,0.12436167895793915,8.643956184387207,0.9733333587646484,0.14777083694934845,8.763089179992676,0.9594444632530212,0.1386967897415161,9.014631271362305
0.9766666889190674,0.13067926466464996,7.954608917236328,0.9750000238418579,0.11301535367965698,8.195396423339844,0.9744444489479065,0.13530701398849487,8.393037796020508,0.9744444489479065,0.12200501561164856,8.619743347167969
0.9783333539962769,0.11798945814371109,7.559456825256348,0.9780555367469788,0.10330181568861008,7.784073352813721,0.9777777791023254,0.13085786998271942,8.028261184692383,0.9733333587646484,0.11548150330781937,8.24771785736084
0.9808333516120911,0.10863290727138519,7.231184959411621,0.9818055629730225,0.09481625258922577,7.433448791503906,0.9822221994400024,0.1150737777352333,7.662472248077393,0.9777777791023254,0.10555460304021835,7.869505405426025
0.9836111068725586,0.0987476259469986,6.932968616485596,0.9830555319786072,0.0869312658905983,7.11702299118042,0.9822221994400024,0.10955161601305008,7.476025581359863,0.9794444441795349,0.10034257173538208,7.670228958129883
0.9855555295944214,0.09077169746160507,6.661927223205566,0.9850000143051147,0.08031469583511353,6.835580348968506,0.9855555295944214,0.1016693040728569,7.169559478759766,0.9800000190734863,0.09450197219848633,7.363697052001953
0.9863888621330261,0.08477998524904251,6.4338860511779785,0.9868055582046509,0.07527444511651993,6.5882954597473145,0.9883333444595337,0.09411954879760742,7.027202606201172,0.9811111092567444,0.08849097043275833,7.217397689819336
0.988194465637207,0.077741838991642,6.217902183532715,0.9888888597488403,0.07000574469566345,6.36604118347168,0.9894444346427917,0.08997220546007156,6.770817756652832,0.9838888645172119,0.08566094934940338,6.954464912414551
0.9898611307144165,0.07240583002567291,6.00687313079834,0.988611102104187,0.0657353475689888,6.148200988769531,0.9888888597488403,0.08617107570171356,6.549830913543701,0.9816666841506958,0.0830584168434143,6.732462406158447
0.9901388883590698,0.06736530363559723,5.81356143951416,0.9895833134651184,0.06064966320991516,5.941119194030762,0.9900000095367432,0.08196157962083817,6.37480354309082,0.9844444394111633,0.07686784863471985,6.548721790313721
0.9918055534362793,0.062494732439517975,5.638603687286377,0.9911110997200012,0.05711563676595688,5.76420259475708,0.992222249507904,0.07663038372993469,6.232495307922363,0.9827777743339539,0.08198870718479156,6.412320613861084
0.9918055534362793,0.05913124978542328,5.480144500732422,0.9918055534362793,0.05400722101330757,5.604459285736084,0.9927777647972107,0.0728934109210968,6.0866618156433105,0.9855555295944214,0.0723930075764656,6.253800392150879
0.9918055534362793,0.05564267188310623,5.347458362579346,0.9930555820465088,0.05090200528502464,5.458643436431885,0.9883333444595337,0.0735839307308197,5.981595039367676,0.9872221946716309,0.06774193793535233,6.148009777069092
0.9930555820465088,0.052415717393159866,5.2317304611206055,0.9930555820465088,0.04762278124690056,5.335794448852539,0.9894444346427917,0.07155165821313858,5.869044780731201,0.9877777695655823,0.06595080345869064,6.036116600036621
0.9938889145851135,0.04965429753065109,5.0969343185424805,0.9950000047683716,0.045175906270742416,5.187077522277832,0.9938889145851135,0.0635872334241867,5.781271934509277,0.9888888597488403,0.0639115497469902,5.945723533630371
0.9951388835906982,0.046056631952524185,4.996178150177002,0.9950000047683716,0.04252539575099945,5.08577299118042,0.9933333396911621,0.0631052702665329,5.617913722991943,0.9877777695655823,0.062095098197460175,5.77567720413208
