accuracy,loss,val_accuracy,val_loss
0.7279166579246521,1.1870272159576416,0.7477777600288391,0.896804690361023
0.8020833134651184,0.6526898741722107,0.7977777719497681,0.6678891181945801
0.8347222208976746,0.4982629120349884,0.8394444584846497,0.5145548582077026
0.8597221970558167,0.4119090139865875,0.8583333492279053,0.4376869797706604
0.8722222447395325,0.3561352491378784,0.8722222447395325,0.3809123933315277
0.89041668176651,0.30745717883110046,0.8844444155693054,0.3402438163757324
0.9006944298744202,0.2736968994140625,0.8894444704055786,0.3152742385864258
0.9066666960716248,0.24769766628742218,0.9049999713897705,0.28122544288635254
0.9127777814865112,0.22595542669296265,0.9138888716697693,0.2610650062561035
0.9243055582046509,0.20364169776439667,0.9205555319786072,0.2435055524110794
