accuracy,loss,val_accuracy,val_loss
0.7815277576446533,0.6366137862205505,0.8544444441795349,0.3870646059513092
0.9219444394111633,0.2939744293689728,0.9449999928474426,0.23823025822639465
0.9579166769981384,0.1993943303823471,0.9494444727897644,0.18934448063373566
0.972083330154419,0.1506088823080063,0.9694444537162781,0.14617279171943665
0.9802777767181396,0.11991382390260696,0.9800000190734863,0.11867208778858185
0.9856944680213928,0.10004327446222305,0.9794444441795349,0.1050921380519867
0.988611102104187,0.08424738794565201,0.9877777695655823,0.09042754769325256
0.9902777671813965,0.07338081300258636,0.9850000143051147,0.08166132122278214
0.9925000071525574,0.06272966414690018,0.9888888597488403,0.07217998802661896
0.9937499761581421,0.05585639178752899,0.9905555844306946,0.06548089534044266
0.9938889145851135,0.05011766776442528,0.992222249507904,0.061531055718660355
0.9961110949516296,0.04421169310808182,0.992222249507904,0.05431714653968811
0.9962499737739563,0.03992820158600807,0.9933333396911621,0.05247467756271362
0.996666669845581,0.036566827446222305,0.9911110997200012,0.05314135551452637
0.9969444274902344,0.03248537331819534,0.9938889145851135,0.04453669488430023
0.9977777600288391,0.02949228323996067,0.9944444298744202,0.042124614119529724
0.9975000023841858,0.026824815198779106,0.995555579662323,0.039394550025463104
0.9983333349227905,0.02438121847808361,0.9944444298744202,0.03763068839907646
0.9980555772781372,0.02245924435555935,0.9944444298744202,0.03600529208779335
0.9984722137451172,0.020642029121518135,0.9933333396911621,0.035569027066230774
